trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-122.40475650317651,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-132.42736557976298,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-94.2595625757643,"{0: 12, 1: 0, 2: 5, 3: 3, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-170.6280641558043,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-8.408884866695466,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-33.699691501126786,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-108.48895412238511,"{0: 22, 1: 5, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,1,-110.5445082723538,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,15,-3.7018816806282406,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-60.896144374713124,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-119.55656010757197,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-48.66110253847034,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-78.98239058047275,"{0: 23, 1: 4, 2: 1, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,18,11.959924317799745,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,7.970341812020546,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,10,-49.91806963811052,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,24.952035289384987,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,12,-7.945032955515409,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,10,5.571967652311583,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,24.984772624985702,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,0,16.543342340376313,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-29.740673344129355,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,43.04267163633215,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-44.0160482507937,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,6,23.245784979240863,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",35,11,27.07877880538802,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",35,12,31.49581191620765,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,8,26.586658103270025,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",35,0,53.68149531134149,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,17,13.175072511686125,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
