trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",30,12,-148.43216418585556,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 3}",1
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-203.31399964789068,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 4}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-154.02065811737748,"{0: 8, 1: 2, 2: 6, 3: 3, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",30,0,-127.85453901355746,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-201.6730835056251,"{0: 7, 1: 4, 2: 5, 3: 1, 4: 3}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,0,-76.45534381840405,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,4,-34.44239584085602,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 0}",1
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-232.68508538373095,"{0: 12, 1: 1, 2: 6, 3: 3, 4: 3}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-145.76433688463987,"{0: 11, 1: 2, 2: 11, 3: 0, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",20,0,-69.60045009891861,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,0,-159.38123322544337,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-82.53022179849967,"{0: 10, 1: 7, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-112.8635288725055,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",30,0,-148.8132337047581,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-57.104240510880004,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-27.860002554606297,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-65.68892325557682,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-166.43199724651558,"{0: 10, 1: 5, 2: 7, 3: 2, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-152.89365323423772,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-38.07763077728002,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
