trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.88844763010908,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-307.688970943208,"{0: 10, 1: 5, 2: 7, 3: 5, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-122.10112746422271,"{0: 19, 1: 6, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.16302659604702,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,1,-81.12324701988913,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-188.66585649223072,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-127.04256018321274,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,14,-13.9884155083344,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,11,-75.6535990213673,"{0: 7, 1: 2, 2: 4, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.1854148379603,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.23983817449347,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-92.43223269363322,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-281.1292693593803,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 5}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.16858180302239,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,14,-0.6634905858023241,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.0158246781622,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.6269276022433,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.57314622907397,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",35,0,-98.01868198915172,"{0: 22, 1: 8, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-158.94286030587875,"{0: 18, 1: 1, 2: 9, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-55.67823559679002,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-341.05568408582525,"{0: 11, 1: 1, 2: 11, 3: 2, 4: 5}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.22911171873125,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-141.69171588908648,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-138.87052454883562,"{0: 15, 1: 3, 2: 10, 3: 2, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-341.5799876530052,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 6}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,12,15.355735357688776,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-37.708233581821716,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-232.45697485421127,"{0: 15, 1: 6, 2: 4, 3: 1, 4: 4}",1
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-86.28257372062991,"{0: 21, 1: 1, 2: 6, 3: 2, 4: 0}",0
